state_cd,route_cd,discontinued,DC_year,new_route_cd,replacement_route,replacement_year,original_route_cd,Flag,DC_reason
49,0177,YES,1997,,NO,,,"A note on the route map indicates it was DC, but no year mentioned other than we have no records in the master table past 1996, nor is it listed in the route table.  A replacement was probably not created. It fell within the Apr 20-May 10 window-BR",
49,0178,YES,2010,262,NO,,,,
49,0179,NO,,,NO,,,,
49,0183,NO,,,NO,,,,
49,0184,NO,,,NO,,,,
49,0186,NO,,,NO,,,,
49,0187,NO,,,NO,,,,
49,0189,NO,,,NO,,,,
49,0192,NO,,,NO,,,,
49,0193,YES,,244,NO,,,"DC but 'never run as 193, but as 244.'  This route never existed as 193 in the official survey.  Perhaps it did prior to this in the early to mid 60's and then they renumbered it to 244 for the official survey.  Bottom line, it should not exist in this table.",
49,0194,NO,,,NO,,,,
49,0195,NO,,,NO,,,,
49,0196,NO,,,NO,,,,
49,0197,NO,,,NO,,,,
49,0198,YES,2018,273,NO,,,,"Adjusted for safety, high speed vehicle traffic"
49,0200,NO,,,NO,,,,
49,0203,NO,,,NO,,,,
49,0204,NO,,,NO,,,,
49,0207,YES,2002,258,NO,,,,
49,0208,YES,1992,254,NO,,,,
49,0209,NO,,,NO,,,,
49,0210,NO,,,NO,,,,
49,0212,NO,,,NO,,,,
49,0214,NO,,,NO,,,,
49,0215,NO,,,NO,,,,
49,0217,NO,,,NO,,,,
49,0218,NO,,,NO,,,,
49,0224,NO,,,NO,,,,
49,0226,NO,,,NO,,,,
49,0227,YES,1989,252,NO,,,,
49,0228,NO,,,NO,,,,
49,0231,NO,,,NO,,,,
49,0232,YES,1984,251,NO,,,,
49,0233,NO,,,NO,,,,
49,0234,NO,,,NO,,,,
49,0235,NO,,,NO,,,,
49,0238,NO,,,NO,,,,
49,0239,NO,,,NO,,,,
49,0241,NO,,,NO,,,,
49,0242,YES,2002,260,NO,,,,
49,0243,YES,2006,266,NO,,,,
49,0244,NO,,,NO,,,,
49,0245,NO,,,NO,,,,
49,0247,NO,,,YES,1980,175,,
49,0250,NO,,,YES,1989,084,,
49,0251,NO,,,YES,1989,232,,
49,0252,NO,,,YES,1989,227,,
49,0253,NO,,,YES,1989,034,,
49,0254,NO,,,YES,1991,208,,"254 run in 1991, both run in 1992, then 208 DC after that."
49,0255,YES,2014,268,YES,1992,088,,
49,0256,NO,,,YES,1992,111,,
49,0257,NO,,,YES,1992,040,,
49,0258,NO,,,YES,2001,207,,
49,0259,NO,,,YES,2000,131,,
49,0260,NO,,,YES,2002,242,,
49,0261,NO,,,YES,2005,104,,
49,0262,NO,,,YES,2010,178,,
49,0263,NO,,,YES,2011,030,,
49,0264,NO,,,YES,2013,124,,
49,0265,NO,,,YES,2004,043,,
49,0266,NO,,,YES,2006,243,,
49,0267,NO,,,YES,2015,062,,
49,0268,NO,,,YES,2014,255,,
49,0269,NO,,,YES,2016,168,,
49,0270,NO,,,YES,1999,011,,
49,0271,NO,,,YES,2018,162,,
49,0272,NO,,,YES,2018,109,,
49,0273,NO,,,YES,2018,198,,
49,0274,NO,,,YES,2005,049,,
50,0001,NO,,,NO,,,,
50,0002,NO,,,NO,,,,
50,0003,NO,,,NO,,,,
50,0004,NO,,,NO,,,,
50,0005,NO,,,NO,,,,
50,0006,NO,,,NO,,,,
50,0007,NO,,,NO,,,,
50,0008,NO,,,NO,,,,
50,0009,NO,,,NO,,,,
50,0010,YES,1989,131,NO,,,,"first 2 miles safety hazard (well traveled state hwy), last 0.6 miles impassable, even with ATV"
50,0011,NO,,,NO,,,,
50,0012,NO,,,NO,,,,
50,0013,NO,,,NO,,,,
50,0014,NO,,,NO,,,,
50,0015,NO,,,NO,,,,
50,0016,NO,,,NO,,,,
50,0017,NO,,,NO,,,,
50,0018,NO,,,NO,,,,
50,0019,NO,,,NO,,,,
50,0020,NO,,,NO,,,,
50,0021,NO,,,NO,,,,
50,0022,NO,,,NO,,,,
50,0023,NO,,,NO,,,,
50,0024,NO,,,NO,,,,
50,0025,YES,2022,145,NO,,,,unsafe stop locations
50,0026,YES,2017,141,NO,2018,,,
50,0027,NO,,,NO,,,,
50,0028,NO,,,NO,,,,
50,0029,NO,,,NO,,,,
50,0030,NO,,,NO,,,,
50,0031,NO,,,NO,,,,
50,0032,NO,,,NO,,,,
50,0033,NO,,,NO,,,,
50,0034,NO,,,NO,,,,
50,0035,NO,,,NO,,,,
50,0036,NO,,,NO,,,,
50,0037,NO,,,NO,,,,
50,0038,NO,,,NO,,,,
50,0039,YES,2001,135,NO,,,,
50,0040,NO,,,NO,,,,
50,0041,NO,,,NO,,,,
50,0042,NO,,,NO,,,,
50,0043,NO,,,NO,,,,
50,0044,NO,,,NO,,,,
50,0045,NO,,,NO,,,,
50,0046,YES,1974,133,NO,,,,
